Naam toets,XXX,#c,47,data,xx,t/m,xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type toets,3,#i,27,#rd,1,27,#rs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesuurpercentage,0.55,Cesuurmethode,1,Schaal,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoringsregel,3,Eigen goed,1,Eigen fout,0,6,Exported by TestVision Online v14.0.5901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soort,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,11,,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weegfactor,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,5,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gokkans,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0.333333,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KansscorePoly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uiterste,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,C,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Naam cursist,,A,,B,,A,,B,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,A,,A,,A,,B,,A,,C,,A,,B,,B,,A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,QId,,Vraag1,,Vraag2,,Vraag3,,Vraag4,,Vraag5,,Vraag6,,Vraag7,,Vraag8,,Vraag9,,Vraag10,,Vraag11,,Vraag12,,Vraag13,,Vraag14,,Vraag15,,Vraag16,,Vraag17,,Vraag18,,Vraag19,,Vraag20,,Vraag21,,Vraag22,,Vraag23,,Vraag24,,Vraag25,,Vraag26,,Vraag27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,,A,,B,,C,,B,,A,,B,,C,,B,,B,,C,,B,,B,,A,,C,,B,,A,,B,,A,,C,,A,,C,,A,,C,,B,,A,4,,3,
1,21/07/2017 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,,A,,B,,C,,C,,A,,B,,B,,B,,A,,C,,B,,B,,A,,C,,A,,C,,A,,A,,B,,A,,C,,B,,B,,C,,A,2,,4,
2,21/07/2017 15:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,,A,,B,,A,,B,,A,,C,,A,,A,,A,,C,,B,,B,,A,,C,,B,,A,,C,,A,,B,,A,,C,,B,,B,,B,,C,3,,4,
3,21/07/2017 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,,A,,B,,B,,B,,A,,B,,A,,B,,B,,C,,B,,B,,A,,C,,B,,A,,B,,A,,B,,C,,C,,A,,C,,B,,A,4,,3,
4,21/07/2017 14:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E,,A,,B,,A,,C,,A,,B,,C,,B,,A,,C,,B,,B,,A,,C,,B,,C,,C,,A,,B,,C,,C,,A,,B,,B,,A,4,,4,
5,21/07/2017 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,,B,,A,,B,,C,,C,,B,,A,,B,,B,,C,,B,,B,,A,,B,,B,,A,,B,,A,,B,,B,,A,,B,,B,,B,,A,1,,1,
6,21/07/2017 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,G,,A,,A,,C,,B,,A,,C,,B,,C,,A,,C,,B,,B,,A,,C,,B,,A,,C,,A,,C,,B,,C,,A,,A,,B,,A,2,,1,
7,21/07/2017 14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H,,A,,B,,B,,B,,A,,C,,C,,A,,B,,C,,B,,C,,A,,C,,B,,C,,B,,A,,B,,A,,B,,A,,B,,B,,C,1,,3,
8,21/07/2017 14:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,I,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,,-2,0,-2,0,-2
